,id,links,name_of_product,price_of_product
0,0,https://www.jadroo.com/uploads/media/2020/08/PDzvsL4b1f/JRE61AAA1-S.jpg,"Boot Shoe Covers, Waterproof Slip Resistant Shoe Booties",380
1,1,https://www.jadroo.com/uploads/media/2020/02/9lO6JRxUD5/JRHSQ-109347-PK.jpg,"Wall-mounted creative shoe rack,folding wall receptacle shoe rack",245
2,2,https://www.jadroo.com/uploads/media/2020/08/HDBMmyhaYj/O1CN016L6gfe1EFyWen8nac_!!2206391230323.jpg,Wall Mounted Stainless Steel Shoe Rack,699
3,3,https://www.jadroo.com/uploads/media/2019/10/nkdMGLXaBW/主图-1.jpg,Space Save Design shoe rack,205
4,4,https://www.jadroo.com/uploads/media/2019/09/pfeKugYinL/O1CN01LJnSYS20aDWQE3Q0X_!!1676856865 (1).jpg,Shoe Pull-Up Convenient heel wear aid,230
5,5,https://www.jadroo.com/uploads/media/2020/11/HDZVwyISGz/A01.jpg,Baby Infant Shoe Anti Slip Sneakers,750
6,6,https://www.jadroo.com/uploads/media/2020/03/jv7rffuLln/JRHC51293-30.jpg,New Ladies Wedding Shoe in Bangladesh,984
7,7,https://www.jadroo.com/uploads/media/old/2017/10/B-12.jpg,Fashionable Gent's Shoe,3233
8,8,https://www.jadroo.com/uploads/media/2020/11/QKpph4k15Z/A01.jpg,Baby Infant Shoe With Two Head Bands Set,650
9,9,https://www.jadroo.com/uploads/media/2020/11/fpMoDsEJtG/A01.jpg,Baby Infant Shoe with Crown Hair Bands Set,490
10,10,https://www.jadroo.com/uploads/media/2020/11/ug1oiYD503/A01.jpg,Baby Infant Warm Shoe With Head Bands  Set,850
11,11,https://www.jadroo.com/uploads/media/2019/08/9VlGeulvrB/zhutu-1.jpg,Silica Gel Rubber Waterproof Rain Shoe Cover,499
12,12,https://www.jadroo.com/uploads/media/old/2019/01/Bazputi-Men-Shoes-6.jpg,Fashionable Bazputi Men Shoe,1200
13,13,https://www.jadroo.com/uploads/media/2020/03/AjZcY8XlcX/C000495.jpg,Cute Design Baby Girl Lace Bow Ribbon Head Band Shoe Set,520
14,14,https://www.jadroo.com/uploads/media/old/2019/01/2-min.jpg,Fashionable Bazputi Men Shoe,1150
15,15,https://www.jadroo.com/uploads/media/2020/03/7jgsSOFN3z/2.jpg,Shoe Shapes Absorbent Non Slip Floor mat,1100
16,16,https://www.jadroo.com/uploads/media/2020/07/XNLozbq12E/12335783894_1424049433.jpg,Foldable Stackable Shoe box (3 box Set),699
17,17,https://www.jadroo.com/uploads/media/2020/09/w7J7oiYto9/A03.jpg,Silica Gel Rubber Waterproof Rain Shoe Cover,499
18,18,https://www.jadroo.com/uploads/media/2020/05/LXxDKPzPgg/300x300.jpg,Personal Protection Equipment (PPE-Full Body Gown) without shoe cover,1000
19,19,https://www.jadroo.com/uploads/media/2020/05/dU7hwpPohi/IMG_20200502_124348.jpg,Personal Protection Equipment (PPE-Full Body Gown) with shoe cover,1200
20,20,https://www.jadroo.com/uploads/media/old/images/products/products-2559_P_1482203019246.jpg,Men Casual Shoe,900
21,21,https://www.jadroo.com/uploads/media/2020/11/wAqzKyZLMz/A01.jpg,Baby Infant Shoe With Flower Design Head Bands Set,580
22,22,https://www.jadroo.com/uploads/media/2020/11/BNhsqFxpRc/A01.jpg,Baby Infant Shoe With Head Bands Set For Winter,850
23,23,https://www.jadroo.com/uploads/media/2020/11/oEqMRzdl1g/A01.jpg,Baby Infant Shoe For Boys,520
24,24,https://www.jadroo.com/uploads/media/2020/11/bZRBFylC44/A01.jpg,Baby Infant Shoe Anti Slip-Sun Flower Printed,475
